nom,categorie,prix_eur,volume_L,degre_pct,ratio,image,url
"Romain Duvernay, 2024 - Beaumes-de-Venise AOP - Rouge - 75 cl",vins-rouges,,0.75,,,https://media.e.leclerc/3760256771624_1,https://www.e.leclerc/pro/romain-duvernay-2024-beaumes-de-venise-aop-rouge-75-cl
"Les Clos de Paulilles  Cuvée Jules Pams, 2023 - Collioure AOP - Rouge - 75 cl",vins-rouges,10.5,0.75,14.5,96.55,https://media.e.leclerc/3248847701682_1,https://www.e.leclerc/pro/les-clos-de-paulilles-cuvee-jules-pams-2023-collioure-aop-rouge-75-cl
"Domaine du Bois Noel, 2023 - Savigny-lès-Beaune AOP - Rouge - 75 cl",vins-rouges,19.9,0.75,,,https://media.e.leclerc/3357400653808_1,https://www.e.leclerc/pro/domaine-du-bois-noel-2023-savigny-les-beaune-aop-rouge-75-cl
"Gérard Bertrand Heresie, 2022 - Corbières AOP - Rouge - 75 cl",vins-rouges,7.5,0.75,,,https://media.e.leclerc/3514123115703_1,https://www.e.leclerc/pro/gerard-bertrand-heresie-2022-corbieres-aop-rouge-75-cl
"Château La Voulte-Gasparets, 2022 - Corbières AOP - Rouge - 75 cl",vins-rouges,9.63,0.75,,,https://media.e.leclerc/3489720112120_1,https://www.e.leclerc/pro/chateau-la-voulte-gasparets-2022-corbieres-aop-rouge-75-cl
"Château L'Hospitalet BIO, 2023 - La Clape AOP - Rouge - 75 cl",vins-rouges,10.9,0.75,,,https://media.e.leclerc/3514123107401_1,https://www.e.leclerc/pro/chateau-l-hospitalet-bio-2023-la-clape-aop-rouge-75-cl
"Le chant du cot Negrette, 2024 - Fronton AOP - Rouge - 75 cl",vins-rouges,4.5,0.75,12.5,48.0,https://media.e.leclerc/3280111850009_1,https://www.e.leclerc/pro/le-chant-du-cot-negrette-2024-fronton-aop-rouge-75-cl
"Château de Malleret, 2022 - Haut-Médoc AOP - Rouge - 75 cl",vins-rouges,18.95,0.75,13.5,187.16,https://media.e.leclerc/3760207010376_1,https://www.e.leclerc/pro/chateau-de-malleret-2022-haut-medoc-aop-rouge-75-cl
"Clos de l'oratoire, 2022 - Châteauneuf-du-Pape AOP - Rouge - 75 cl",vins-rouges,42.5,0.75,12.5,453.33,https://media.e.leclerc/3142806845137_1,https://www.e.leclerc/pro/clos-de-l-oratoire-2022-chateauneuf-du-pape-aop-rouge-75-cl
"Les Caillottes, 2024 - Saint Nicolas de Bourgueil AOP - Rouge - 75 cl",vins-rouges,6.6,0.75,,,https://media.e.leclerc/3338480032868_1,https://www.e.leclerc/pro/les-caillottes-2024-saint-nicolas-de-bourgueil-aop-rouge-75-cl
"La Bonne Ambiance, Domaine Uma, 2024 - Pic-Saint-Loup AOP - Rouge - 75 cl",vins-rouges,7.9,0.75,13.5,78.02,https://media.e.leclerc/3760043171804_1,https://www.e.leclerc/pro/la-bonne-ambiance-domaine-uma-2024-pic-saint-loup-aop-rouge-75-cl
"Château Petit Boyer La Passion, 2023 - Blaye Côtes de Bordeaux AOP - Rouge - 75 cl",vins-rouges,6.3,0.75,,,https://media.e.leclerc/3760039460035_1,https://www.e.leclerc/pro/chateau-petit-boyer-la-passion-2023-blaye-cotes-de-bordeaux-aop-rouge-75-cl
"Bouchard aine & fils, 2024 - Vin de France - Rouge - 75 cl",vins-rouges,6.34,0.75,12.5,67.63,https://media.e.leclerc/3340180010381_1,https://www.e.leclerc/pro/bouchard-aine-fils-2024-vin-de-france-rouge-75-cl
"Les Dames Huguette, 2023 - Bourgogne Hautes-Côtes de Nuits AOP - Rouge - 75 cl",vins-rouges,14.75,0.75,,,https://media.e.leclerc/3700558837833_1,https://www.e.leclerc/pro/les-dames-huguette-2023-bourgogne-hautes-cotes-de-nuits-aop-rouge-75-cl
"Vignobles André Farjon BIO, 2024 - Cairanne AOP - Rouge - 75 cl",vins-rouges,7.85,0.75,14.5,72.18,https://media.e.leclerc/3760166191178_1,https://www.e.leclerc/pro/vignobles-andre-farjon-bio-2024-cairanne-aop-rouge-75-cl
"Laurent Brotte, 2023 - Crozes-Hermitage AOP - Rouge - 75 cl",vins-rouges,14.95,0.75,12.5,159.47,https://fgellaobb.filerobot.com/3217661023898_1,https://www.e.leclerc/pro/laurent-brotte-2023-crozes-hermitage-aop-rouge-75-cl
"Les Auzières BIO, 2024 - Côtes du Rhône Villages AOP - Rouge - 75 cl",vins-rouges,4.95,0.75,14.5,45.52,https://media.e.leclerc/3760254341447_1,https://www.e.leclerc/pro/les-auzieres-bio-2024-cotes-du-rhone-villages-aop-rouge-75-cl
"Le Grand Méchant Loup, 2022 - Pic-Saint-Loup AOP - Rouge - 75 cl",vins-rouges,,0.75,,,https://media.e.leclerc/3760027604687_1,https://www.e.leclerc/pro/le-grand-mechant-loup-2022-pic-saint-loup-aop-rouge-75-cl
"Château Plantey , 2020 - Pauillac AOP - Rouge - 75 cl",vins-rouges,17.9,0.75,13.5,176.79,https://media.e.leclerc/3303293202449_1,https://www.e.leclerc/pro/chateau-plantey-2020-pauillac-aop-rouge-75-cl
"Cuvée Hortense, 2022 - Côtes de Bordeaux AOP - Rouge - 75 cl",vins-rouges,,0.75,,,https://media.e.leclerc/3176481020268_1,https://www.e.leclerc/pro/cuvee-hortense-2022-cotes-de-bordeaux-aop-rouge-75-cl
"Des aires hautes, 2022 - Minervois AOP - Rouge - 75 cl",vins-rouges,6.4,0.75,14.5,58.85,https://media.e.leclerc/3760166042722_1,https://www.e.leclerc/pro/des-aires-hautes-2022-minervois-aop-rouge-75-cl
